Fold,Explained variance,MSE,MAE,R2,Model
0,6.91E-04,648062.0625,691.936951,-0.07878,RNN
1,3.18E-04,506082.5313,607.80127,-0.075194,RNN
2,0.00E+00,717951.4375,749.620605,-0.099635,RNN
3,-2.38E-07,516508.625,577.372498,-0.004436,RNN
4,0.00E+00,603303.8125,640.863037,-0.116493,RNN
5,-7.75E-06,689362.5625,708.264893,-0.19902,RNN
6,5.43E-04,579992.5,643.106506,-0.229817,RNN
7,8.52E-05,956042.625,844.587341,-0.017233,RNN
8,-5.97E-04,690654.875,709.087036,-0.051448,RNN
9,0.00E+00,638227.8125,699.486389,-0.000966,RNN
10,0.00E+00,720343.1875,711.108826,-0.028112,RNN
0,-0.000041,468164.4625,561.378479,-0.266563,GRU
1,0.00019,618182.2125,643.558917,-0.119006,GRU
2,-0.000012,866154.7625,819.188965,-0.173293,GRU
3,0.000085,469954.7625,615.200354,-0.304278,GRU
4,-0.000163,822290.275,767.333105,-0.066486,GRU
5,-0.0001,755496.0875,734.756726,-0.410618,GRU
6,0.000068,692739.2875,690.345813,-0.157411,GRU
7,-0.000005,574712.0938,651.396497,-0.014103,GRU
8,-0.000044,775363.025,765.190955,-0.198012,GRU
9,-0.000144,543813.2188,621.243823,-0.048067,GRU
10,-0.000171,601505.55,629.144922,-0.011754,GRU
0,0.00E+00,817050.0625,816.748108,-0.000375,LSTM
1,0.00E+00,588380.25,633.319641,-0.211024,LSTM
2,0.00E+00,624038.875,660.234558,-0.004812,LSTM
3,0.00E+00,755863.375,767.54248,-0.003228,LSTM
4,0.00E+00,550588.375,602.386475,-0.195227,LSTM
5,0.00E+00,763971.9375,749.63501,-0.002836,LSTM
6,1.19E-07,534230.375,591.382996,-0.0061,LSTM
7,0.00E+00,641230.9375,667.585083,-0.103095,LSTM
8,0.00E+00,745144.75,746.799988,-0.034261,LSTM
9,-1.19E-07,513905.7188,583.262268,-0.016261,LSTM
10,0.00E+00,558760.9375,623.235779,-0.008368,LSTM
